Title,Author,Year,DOI,Venue,Link,Publisher,Abstract,Basic-Testing4Quantum?,Basic-QSTAndEmpirical?
On testing quantum programs,"Miranskyy, Andriy and Zhang, Lei",2019.0,10.1109/ICSE-NIER.2019.00023,2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),https://doi.org/10.1109/ICSE-NIER.2019.00023,IEEE Press,"A quantum computer (QC) can solve many computational problems more efficiently than a classic one. The field of QCs is growing: companies (such as D-Wave, IBM, Google, and Microsoft) are building QC offerings. We position that software engineers should look into defining a set of software engineering practices that apply to QC's software. To start this process, we give examples of challenges associated with testing such software and sketch potential solutions to some of these challenges.",[Y],[N]
MorphQ: Metamorphic Testing of the Qiskit Quantum Computing Platform,"Paltenghi, Matteo and Pradel, Michael",2023.0,10.1109/ICSE48619.2023.00202,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),https://doi.org/10.1109/ICSE48619.2023.00202,IEEE Press,"As quantum computing is becoming increasingly popular, the underlying quantum computing platforms are growing both in ability and complexity. Unfortunately, testing these platforms is challenging due to the relatively small number of existing quantum programs and because of the oracle problem, i.e., a lack of specifications of the expected behavior of programs. This paper presents MorphQ, the first metamorphic testing approach for quantum computing platforms. Our two key contributions are (i) a program generator that creates a large and diverse set of valid (i.e., non-crashing) quantum programs, and (ii) a set of program transformations that exploit quantum-specific metamorphic relationships to alleviate the oracle problem. Evaluating the approach by testing the popular Qiskit platform shows that the approach creates over 8k program pairs within two days, many of which expose crashes. Inspecting the crashes, we find 13 bugs, nine of which have already been confirmed. MorphQ widens the slim portfolio of testing techniques of quantum computing platforms, helping to create a reliable software stack for this increasingly important field.",[Y],[N]
Algorithm 950: Ncpol2sdpa—Sparse Semidefinite Programming Relaxations for Polynomial Optimization Problems of Noncommuting Variables,"Wittek, Peter",2015.0,10.1145/2699464,ACM Trans. Math. Softw.,https://doi.org/10.1145/2699464,Association for Computing Machinery,"A hierarchy of semidefinite programming (SDP) relaxations approximates the global optimum of polynomial optimization problems of noncommuting variables. Generating the relaxation, however, is a computationally demanding task, and only problems of commuting variables have efficient generators. We develop an implementation for problems of noncommuting variables that creates the relaxation to be solved by SDPA--a high-performance solver that runs in a distributed environment. We further exploit the inherent sparsity of optimization problems in quantum physics to reduce the complexity of the resulting relaxations. Constrained problems with a relaxation of order two may contain up to a hundred variables. The implementation is available in Python. The tool helps solve such as finding the ground state energy or testing quantum correlations.",[N],N/A
Tangible Interfaces for Interactive Evolutionary Computation,"Mitchell, Thomas and Bennett, Peter and Madgwick, Sebastian and Davies, Edward and Tew, Philip",2016.0,10.1145/2851581.2892405,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems,https://doi.org/10.1145/2851581.2892405,Association for Computing Machinery,"Interactive evolutionary computation (IEC) is a powerful human-machine optimisation procedure for evolving solutions to complex design problems. In this paper we introduce the novel concept of Tangible Interactive Evolutionary Computation (TIEC), leveraging the benefits of tangible user interfaces to enhance the IEC process and experience to alleviate user fatigue. An example TIEC system is presented and used to evolve biomorph images, with a recreation of the canonical IEC application: The Blind Watchmaker program. An expanded version of the system is also used to design visual states for an atomic visualisation platform called danceroom Spectroscopy, that allows participants to explore quantum phenomena through movement and dance. Initial findings from an informal observational test are presented along with the results from a pilot study to evaluate the potential for TIEC.",[N],N/A
Reversible Synthesis of Symmetric Functions with a Simple Regular Structure and Easy Testability,"Deb, Arighna and Das, Debesh K. and Rahaman, Hafizur and Wille, Robert and Drechsler, Rolf and Bhattacharya, Bhargab B.",2016.0,10.1145/2894757,J. Emerg. Technol. Comput. Syst.,https://doi.org/10.1145/2894757,Association for Computing Machinery,"In this article, we introduce a novel method of synthesizing symmetric Boolean functions with reversible logic gates. In contrast to earlier approaches, the proposed technique deploys a simple, regular, and cascaded structure consisting of an array of Peres and CNOT gates, which results in significant reduction with respect to the quantum cost. However, the number of circuit inputs may increase slightly when such cascades are used. In order to reduce their number, we next propose a postsynthesis optimization phase that allows judicious reuse of circuit lines. In addition to offering a cost-effective synthesis methodology, the proposed reversible logic structure supports elegant testability properties. With respect to all single or partial missing gate faults (SMGFs and PMGFs), or repeated gate faults (RGFs) in such an n-input circuit module, we show that it admits a universal test set of constant cardinality (=3) for any value of n. Thus, considering both the cost and testability issues, this approach provides a superior option for synthesizing symmetric functions compared to existing designs.",[N],N/A
Delayed Update Algorithms for Quantum Monte Carlo Simulation on GPU: Extended Abstract,"McDaniel, Tyler and D'Azevedo, Ed and Li, Ying Wai and Kent, Paul and Wong, Ming and Wong, Kwai",2016.0,10.1145/2949550.2949579,"Proceedings of the XSEDE16 Conference on Diversity, Big Data, and Science at Scale",https://doi.org/10.1145/2949550.2949579,Association for Computing Machinery,"QMCPACK is open source scientific software designed to perform Quantum Monte Carlo (QMC) simulation, a first-principles method for describing many-body systems. The evaluation of each Monte Carlo move requires finding the determinant of a dense matrix in the wave functions. This calculation forms a key computational kernel in QMCPACK. After each accepted event, the wave function matrix undergoes a rank-one update to represent a single particle move within the system. The matrix inverse is updated via the Sherman-Morrison formula; occasionally, the explicit inverse must be recomputed to maintain numerical stability.; We propose an alternate approach to this kernel that utilizes QR factorization to maintain stability without refactorization. In addition, algorithms based on a novel delayed update scheme are explored in this effort. This strategy enables probability evaluation for multiple successive Monte Carlo moves, with application of accepted moves to the wave function matrix delayed until an event is denied, or a predetermined limit on acceptances p is reached. Accepted events grouped in this manner are then applied to the matrix en bloc with enhanced arithmetic intensity and computational efficiency.Delayed update Sherman-Morrison probability evaluation algorithms with CPU and GPU-accelerated implementations are tested, profiled, and analyzed. A QR based delayed update algorithm remains in development. Results are evaluated against existing methods for numerical stability and efficiency; emphasis is placed on large systems, for which acceleration is critical.",[N],N/A
DigitalBiomarkers '17: Proceedings of the 1st Workshop on Digital Biomarkers,,2017.0,,,,Association for Computing Machinery,"It is our great pleasure to welcome you to the ACM 1st workshop on Digital Biomarkers 2017 (DigitalBioMarkers'17). The workshop will bring academics, industry researchers and medical researchers together to address the modeling, testing, and validation of new digital biomarkers for evaluating and predicting onset of diseases/health conditions, response to treatments, and effects of interventions. The workshop aims to facilitate a systematic discussion among experts from different knowledge domains including mobile sensing, systems, machine learning, medicine and health sciences in order to (i) identify new digital biomarkers relevant to behavioral, chronic, and degenerative conditions, (ii) identify the key shortcomings of the existing mobile and wearable sensor systems, and research platforms (e.g., ResearchKit(™) and ResearchStack) for digital biomarker inference in terms of scalability, customizability, and sensing affordances, (iii) find realistic solutions towards building new digital biomarker evidence engine leveraging sensor data from a variety of mobile systems (e.g., smartphones, wearables, IoT devices, and other relevant digital traces), (iv) identify key data collection, labeling, testing and validation methodologies for development of digital biomarkers.The call for papers attracted highly relevant submissions from around the world. The program committee accepted 6 short papers out of 9 submissions. In addition to the presentations of the 6 accepted papers, the workshop will feature one a morning keynote and an afternoon panel session. Keynote: ""A Quantum of Solace: Digital Traces and Mental Health"", Prof. Vincent M. B. Silenzio, University of Rochester School of Medicine &amp; DentistryDesigning studies for feasibility testing, refinement and validation of digital biomarkers Panel Session",[N],N/A
To BLISS-B or not to be: Attacking strongSwan's Implementation of Post-Quantum Signatures,"Pessl, Peter and Bruinderink, Leon Groot and Yarom, Yuval",2017.0,10.1145/3133956.3134023,Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,https://doi.org/10.1145/3133956.3134023,Association for Computing Machinery,"In the search for post-quantum secure alternatives to RSA and ECC, lattice-based cryptography appears to be an attractive and efficient option. A particularly interesting lattice-based signature scheme is BLISS, offering key and signature sizes in the range of RSA moduli. A range of works on efficient implementations of BLISS is available, and the scheme has seen a first real-world adoption in strongSwan, an IPsec-based VPN suite. In contrast, the implementation-security aspects of BLISS, and lattice-based cryptography in general, are still largely unexplored.At CHES 2016, Groot Bruinderink et al. presented the first side-channel attack on BLISS, thus proving that this topic cannot be neglected. Nevertheless, their attack has some limitations. First, the technique is demonstrated via a proof-of-concept experiment that was not performed under realistic attack settings. Furthermore, the attack does not apply to BLISS-B, an improved variant of BLISS and also the default option in strongSwan. This problem also applies to later works on implementation security of BLISS.In this work, we solve both of the above problems. We present a new side-channel key-recovery algorithm against both the original BLISS and the BLISS-B variant. Our key-recovery algorithm draws on a wide array of techniques, including learning-parity with noise, integer programs, maximimum likelihood tests, and a lattice-basis reduction. With each application of a technique, we reveal additional information on the secret key culminating in a complete key recovery.Finally, we show that cache attacks on post-quantum cryptography are not only possible, but also practical. We mount an asynchronous cache attack on the production-grade BLISS-B implementation of strongSwan. The attack recovers the secret signing key after observing roughly 6000 signature generations.",[N],N/A
Quantum Grover Attack on the Simplified-AES,"Almazrooie, Mishal and Abdullah, Rosni and Samsudin, Azman and Mutter, Kussay N.",2018.0,10.1145/3185089.3185122,Proceedings of the 2018 7th International Conference on Software and Computer Applications,https://doi.org/10.1145/3185089.3185122,Association for Computing Machinery,"In this work, a quantum design for the Simplified-Advanced Encryption Standard (S-AES) algorithm is presented. Also, a quantum Grover attack is modeled on the proposed quantum S-AES. First, quantum circuits for the main components of S-AES in the finite field F2[x]/(x4 + x + 1), are constructed. Then, the constructed circuits are put together to form a quantum version of S-AES. A C-NOT synthesis is used to decompose some of the functions to reduce the number of the needed qubits. The quantum S-AES is integrated into a black-box queried by Grover's algorithm. A new approach is proposed to uniquely recover the secret key when Grover attack is applied. The entire work is simulated and tested on a quantum mechanics simulator. The complexity analysis shows that a block cipher can be designed as a quantum circuit with a polynomial cost. In addition, the secret key is recovered in quadratic speedup as promised by Grover's algorithm.",[N],N/A
GLSVLSI '18: Proceedings of the 2018 Great Lakes Symposium on VLSI,,2018.0,,,,Association for Computing Machinery,"Welcome to the 28th edition of the Great Lakes Symposium on VLSI (GLSVLSI) 2018, held at Chicago, IL. GLSVLSI is a premier venue for the dissemination of manuscripts of the highest quality in all areas related to VLSI, devices, and system-level design. The location of this year's GLSVLSI is Chicago, returning to the ""Great Lakes"" region of the USA. Conference will be held at Marriott Marquis Chicago located in downtown Chicago close to Lake Michigan and South Loop.Chicago is the home of Willis Tower, Cloud Gate and Millennium Park, Navy Pier, Art Institute of Chicago, Field Museum of Natural History, Magnificent Mile, and Wrigley Field. The conference this year will host a social event aboard Chicago's First Lady Cruises for ""Chicago Architecture Foundation River Cruise"".This year's central theme for GLSVLSI is IoT Hardware and Heterogeneous Computing for Artificial Intelligence. The conference will showcase a program highlighted by five keynote speeches related to the central theme by the following academic, industrial, and governmental leaders:Matthew Casto, Chief, Air Force Research Lab, delivering the keynote entitled ""Hardware Assurance: Trojans, Counterfeits, and Security in an Interconnected World"".Nikil Dutt, Chancellor's Professor, UC-Irvine, delivering the keynote entitled ""Self-Awareness for Heterogeneous MPSoCs: A Case Study using Adaptive, Reflective Middleware"".Sharon Hu, Associate Dean, University of Notre Dame, delivering keynote entitled ""A Cross- Layer Perspective for Energy Efficient Processing -- From Beyond-CMOS Devices to Deep Learning"".David Pellerin, Head of Global Business Development, Infotech/Semiconductor, Amazon Web Services, delivering keynote entitled ""Connected Devices, AI, and Scale -- Trends Driving Semiconductor Innovation"".Wade Shen, Program Manager, DARPA, delivering keynote entitled ""DARPA's Data Driven Discovery of Models (D3M) and Software Defined Hardware (SDH) programs"".Complementing the keynotes are six special sessions on:Powering Heterogeneous IoT Systems: Design for Efficiency, Security, and Sustainability.Emergence of Silicon Photonics in High-Performance Computing: How can the VLSI Community Contribute?Artificial Intelligence at the Edge.Implementing and Benchmarking Post-Quantum Cryptography in Hardware.Stochastic and Approximate Computing for Emerging Learning and Communication Systems.Circuits and Systems for Autonomous IoT Devices.For the first time in 2018, GLSVLSI program is featuring panels. Panel chairs Ioannis Savidis and Avesta Sasan will be moderating panels on the timely topics of security and machine learning, respectivelySecuring the Systems of the Future -- Techniques for a Shifting Attack Space.Low Power &amp; Trusted Machine Learning.Most importantly, GLSVLSI 2018 will continue the strong tradition of featuring a stellar technical program focusing on VLSI, devices and systems. The technical program is shaped by the strong representation of high-quality papers in the standard tracks in VLSI Design; VLSI Circuits and Power Aware Design; Computer-Aided Design; Testing, Reliability, Fault Tolerance; Emerging Computing and Post-CMOS Technologies; and Hardware Security. GLSVLSI 2018 adds a new track in ""Machine Learning and Artificial Intelligence"" to capture the increasing interest and demonstrated competence of our community in the emerging field that also helps shape the central theme of GLSVLSI 2018. There were 161 papers submitted to GLSVLSI 2018 from 22 countries. Thanks to tireless service of the track chairs, program committee members and anonymous reviewers, 97% of the submitted papers received 4+ reviews and more than 60% of the papers received 5+ reviews, for an average of 4.6 reviews per paper. The acceptance rate for the conference is 28.6%, with a program featuring 46 papers. Including the papers presented as posters, a total of 72 papers will be included in the proceedings. Special sessions add another -20 invited papers on various exciting topics to the symposium organized by Yanjing Li, who has done an excellent job.",[N],N/A
Statistical assertions for validating patterns and finding bugs in quantum programs,"Huang, Yipeng and Martonosi, Margaret",2019.0,10.1145/3307650.3322213,Proceedings of the 46th International Symposium on Computer Architecture,https://doi.org/10.1145/3307650.3322213,Association for Computing Machinery,"In support of the growing interest in quantum computing experimentation, programmers need new tools to write quantum algorithms as program code. Compared to debugging classical programs, debugging quantum programs is difficult because programmers have limited ability to probe the internal states of quantum programs; those states are difficult to interpret even when observations exist; and programmers do not yet have guidelines for what to check for when building quantum programs. In this work, we present quantum program assertions based on statistical tests on classical observations. These allow programmers to decide if a quantum program state matches its expected value in one of classical, superposition, or entangled types of states. We extend an existing quantum programming language with the ability to specify quantum assertions, which our tool then checks in a quantum program simulator. We use these assertions to debug three benchmark quantum programs in factoring, search, and chemistry. We share what types of bugs are possible, and lay out a strategy for using quantum programming patterns to place assertions and prevent bugs.",[Y],[Y]
A stochastic-computing based deep learning framework using adiabatic quantum-flux-parametron superconducting technology,"Cai, Ruizhe and Ren, Ao and Chen, Olivia and Liu, Ning and Ding, Caiwen and Qian, Xuehai and Han, Jie and Luo, Wenhui and Yoshikawa, Nobuyuki and Wang, Yanzhi",2019.0,10.1145/3307650.3322270,Proceedings of the 46th International Symposium on Computer Architecture,https://doi.org/10.1145/3307650.3322270,Association for Computing Machinery,"The Adiabatic Quantum-Flux-Parametron (AQFP) superconducting technology has been recently developed, which achieves the highest energy efficiency among superconducting logic families, potentially 104--105 gain compared with state-of-the-art CMOS. In 2016, the successful fabrication and testing of AQFP-based circuits with the scale of 83,000 JJs have demonstrated the scalability and potential of implementing large-scale systems using AQFP. As a result, it will be promising for AQFP in high-performance computing and deep space applications, with Deep Neural Network (DNN) inference acceleration as an important example.Besides ultra-high energy efficiency, AQFP exhibits two unique characteristics: the deep pipelining nature since each AQFP logic gate is connected with an AC clock signal, which increases the difficulty to avoid RAW hazards; the second is the unique opportunity of true random number generation (RNG) using a single AQFP buffer, far more efficient than RNG in CMOS. We point out that these two characteristics make AQFP especially compatible with the stochastic computing (SC) technique, which uses a time-independent bit sequence for value representation, and is compatible with the deep pipelining nature. Further, the application of SC has been investigated in DNNs in prior work, and the suitability has been illustrated as SC is more compatible with approximate computations.This work is the first to develop an SC-based DNN acceleration framework using AQFP technology. The deep-pipelining nature of AQFP circuits translates into the difficulty in designing accumulators/counters in AQFP, which makes the prior design in SC-based DNN not suitable. We overcome this limitation taking into account different properties in CONV and FC layers: (i) the inner product calculation in FC layers has more number of inputs than that in CONV layers; (ii) accurate activation function is critical in CONV rather than FC layers. Based on these observations, we propose (i) accurate integration of summation and activation function in CONV layers using bitonic sorting network and feedback loop, and (ii) low-complexity categorization block for FC layers based on chain of majority gates. For complete design we also develop (i) ultra-efficient stochastic number generator in AQFP, (ii) a high-accuracy sub-sampling (pooling) block in AQFP, and (iii) majority synthesis for further performance improvement and automatic buffer/splitter insertion for requirement of AQFP circuits. Experimental results suggest that the proposed SC-based DNN using AQFP can achieve up to 6.8 \texttimes{} 104 times higher energy efficiency compared to CMOS-based implementation while maintaining 96% accuracy on the MNIST dataset.",[N],N/A
An applied quantum Hoare logic,"Zhou, Li and Yu, Nengkun and Ying, Mingsheng",2019.0,10.1145/3314221.3314584,Proceedings of the 40th ACM SIGPLAN Conference on Programming Language Design and Implementation,https://doi.org/10.1145/3314221.3314584,Association for Computing Machinery,"We derive a variant of quantum Hoare logic (QHL), called applied quantum Hoare logic (aQHL for short), by: 1. restricting QHL to a special class of preconditions and postconditions, namely projections, which can significantly simplify verification of quantum programs and are much more convenient when used in debugging and testing; and 2. adding several rules for reasoning about robustness of quantum programs, i.e. error bounds of outputs. The effectiveness of aQHL is shown by its applications to verify two sophisticated quantum algorithms: HHL (Harrow-Hassidim-Lloyd) for solving systems of linear equations and qPCA (quantum Principal Component Analysis).",[N],N/A
